poi,yellow,brown,green,food,hotel,retail,entertain,beauty,service,sport,civic,religious,education,health,government,transport
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1
15,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,10,0,0,4,0,0,0,0,0,0,3
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,3,0,0,1,1,0,0,4,0,1,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
54,0,0,0,3,0,9,0,0,6,0,0,0,0,6,0,0
66,2,0,0,2,0,10,0,0,6,1,0,0,0,2,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0
66,0,0,0,1,0,6,0,1,4,0,1,1,0,0,0,4
21,2,0,0,4,0,4,0,1,1,0,0,0,0,0,0,3
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
8,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0
22,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
12,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
36,0,0,0,2,0,3,0,0,8,0,0,0,0,0,0,4
13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
85,4,0,0,4,0,14,0,0,11,0,0,0,1,0,0,1
3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,1
26,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
13,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,0,0,0,6,0,1,1,0,3,0,0,0,0,1
13,1,0,0,2,0,3,0,0,2,0,0,0,0,1,0,1
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
13,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0
25,0,0,0,1,1,1,0,0,4,1,0,0,0,9,1,2
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,1,0,9,0,0,3,0,0,0,0,0,0,3
5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
23,0,0,0,2,0,3,0,2,0,0,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,6,0,0,6,0,17,0,0,7,0,0,1,0,0,0,7
13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1
55,1,0,0,5,0,8,0,0,2,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,5,0,1,4,0,0,0,0,0,0,2
8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
28,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,1
10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,2,0,8,0,1,5,0,0,0,1,0,0,3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3
9,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
9,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,0,0,0,4,1,4,0,1,3,0,0,0,1,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,1,1,6,0,1,4,0,0,1,3,1,0,2
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0
5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
10,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
14,0,0,0,2,0,1,0,5,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,1,0,0,1,0,6,0,1,2,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1
10,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
17,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,3
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2
58,3,0,0,2,0,6,0,1,8,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,2,0,5,0,4,1,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
13,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
23,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
88,4,0,0,2,0,12,0,0,6,0,0,0,0,2,0,4
26,0,0,0,2,1,5,0,1,0,0,0,0,0,0,0,3
10,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0
6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
34,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
37,7,0,0,1,0,12,0,0,1,0,0,0,0,0,0,2
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
24,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,2,0,0,0,0,17,0,1,0,0,0,0,0,0,0,2
32,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,1
7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
13,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
